video_id,comment,reply,comment_date,reply_date,video_title,category_id_x,channel_name,category_id_y,category
V8nz4n-8hSc,Bro its not a celebration he literally said in a interview he didnt know he won,Okay. But video is about saving penalty and then celebrating! So I guess that's cold.,2024-03-27T12:18:33Z,2024-04-01T05:25:18Z,He's from Italia 🇮🇹🥶 #shorts,17,RX Football ,17,Sports
69BH-6dfTFI,"From the northern border of Mexico to the southern tip of Chile, 16 Nobels have been given.  The USA 🇺🇸 has 438 alone.  They’re stupid.  They don’t even have a remedial understanding of LAW.  SMH.  We don’t need them here.",Victoria they don't know law because they don't use laws in their own country😐,2019-09-02T01:53:41Z,2019-09-03T01:24:25Z,You Can't Cuck The Tuck Vol. 26,22,HIGH ENERGY,22,People & Blogs
69BH-6dfTFI,"The Colonel was making ]]arguments that Tucker unfortunately tried to spi[p be ""open minded"" and  pol agree to disagree. respectfully. ""The enemy of your enemy is not always your friend"" is what the Colonel was arguing for. I agree with Tucker on almost anything, so I hate to see it when he behaves such that he feels the need to win a news segment discussion. I have never seen Tucker be so closed-minded and dismissive before.",That’s funny because I’ve never seen the Colonel so closed minded,2019-03-01T12:01:36Z,2019-03-10T19:24:25Z,You Can't Cuck The Tuck Vol. 26,22,HIGH ENERGY,22,People & Blogs
69BH-6dfTFI,Why is she wearing so much make up if the point of the Burka is to shield herself form from all the evil rapist men?  Sincere question.,Because that's what feminists do. They want all the good things but none of the difficult ones.,2017-07-26T11:25:26Z,2021-02-22T17:48:05Z,You Can't Cuck The Tuck Vol. 26,22,HIGH ENERGY,22,People & Blogs
69BH-6dfTFI,I love this shit the editing is always on point lmao. Always rockin with high energy 🙌,Should remix Tuckers interview friday with that guy arguing against fighting ms-13 lol,2017-07-25T17:19:35Z,2017-07-30T05:58:57Z,You Can't Cuck The Tuck Vol. 26,22,HIGH ENERGY,22,People & Blogs
69BH-6dfTFI,"I learned something new today: 

When Russia bombs countries to kill their enemies = Hitler. 
When US / Nato bombs countries to kill their enemies = ???",That;s a Neo-Con for you they aren't supposed to make sense.,2017-07-25T15:21:18Z,2017-09-27T03:39:57Z,You Can't Cuck The Tuck Vol. 26,22,HIGH ENERGY,22,People & Blogs
69BH-6dfTFI,My god! Can't anyone DO anything about these roaming GANGS of Trump supporters terrorizing Chicago?! This poor deluded Muslim is LITERALLY SHAKING!,"Can't do much about it! They live on the southside with ""Big Al""!",2017-07-25T13:09:03Z,2019-04-02T19:08:32Z,You Can't Cuck The Tuck Vol. 26,22,HIGH ENERGY,22,People & Blogs
69BH-6dfTFI,"She doesn't feel safe when she takes a bus home alone? What does she see her reflection in the window and think, ""Waah! A terrorist!""",Probably because it's Chicago and she sees alot of black people on the bus lol,2017-07-25T12:00:07Z,2018-09-20T15:43:38Z,You Can't Cuck The Tuck Vol. 26,22,HIGH ENERGY,22,People & Blogs
69BH-6dfTFI,"""guns are more effective than karate chops"" ...Tc is a fucking legend",He is bro. I carry everywhere and will not live somewhere that I can’t carry. I’m too old to fight lol.,2017-07-25T11:52:18Z,2023-05-15T17:30:01Z,You Can't Cuck The Tuck Vol. 26,22,HIGH ENERGY,22,People & Blogs
69BH-6dfTFI,The second guy was a little slow. Wonder how many drugs he abused in his youth. It also shows that he doesn't read.,He also didn't have the main advantage of being either white or asian. Poor guy.,2017-07-25T09:38:28Z,2017-07-25T16:39:32Z,You Can't Cuck The Tuck Vol. 26,22,HIGH ENERGY,22,People & Blogs
